,base,case_1,case_2,case_3
c101C5,752.4797470153229,1070.8958750063168,718.8110030239561,833.9169386673427
c103C5,1097.9432602246427,1195.75347189897,1075.0878161752062,1075.0878161752062
c206C5,1028.3267346476814,1766.1215437600677,1173.5046680393725,961.4361254558949
c208C5,984.8184835927719,1742.4118845085454,1013.555799387649,1088.6810871479388
r104C5,113.82488563187448,151.82709665505536,122.16618722252338,130.15712847414494
r105C5,162.74592338869036,172.56048061383493,158.72452207367175,160.00683903012938
r202C5,249.11420841769294,290.5575417361506,246.162693991739,205.47089907253164
r203C5,306.13200975391123,392.3679668315045,297.9555183649744,341.4709379356059
rc105C5,168.02749956186543,192.81850363601075,168.02749956186543,192.81850363599256
rc108C5,220.42313739457393,230.00000000000009,215.68518842363167,214.66876695915423
rc204C5,264.86521992685596,326.3429300966221,273.84205518657177,291.77975194649076
rc208C5,266.4117283392874,253.60960782572388,266.4117283392874,278.57360140149984
