,base,case_1,case_2,case_3
c101C5,895.6017383708108,1105.4533423567711,872.0788655293195,872.0788655293195
c103C5,1224.137011749777,1195.75347189897,1129.2815677003405,1188.0
c206C5,2082.0788655293195,2423.6600832432614,2230.4698170013894,2664.0788655293195
c208C5,1857.0149750907892,2410.9602539186017,1885.7522908856663,1960.877578645956
r104C5,194.38477631085024,194.38477631085024,194.38477631085024,194.38477631085024
r105C5,209.32455532033677,223.77559263493532,209.32455532033677,209.32455532033677
r202C5,430.4962513325019,499.8871532712491,428.8113883008419,428.8113883008419
r203C5,785.2572976832834,796.9661991411779,682.4144987024775,625.9705627484772
rc105C5,191.0,196.9526811106383,196.19266876011068,195.53121660865068
rc108C5,230.42313739457393,240.0,234.57137430032355,224.66876695915423
rc204C5,918.4230759016608,960.0,927.3999111613768,758.05551275464
rc208C5,440.5468902418053,451.17206621812426,406.03840481040527,406.03840481040527
