,base,case_1,case_2,case_3
c101C5,"(895.6017383708108, 143.12199135548792)","(1105.4533423567711, 34.55746735045424)","(856.7321374946365, 137.92113447068044)","(856.7321374946371, 22.815198827294346)"
c103C5,"(1224.137011749777, 126.1937515251343)","(1195.75347189897, 0.0)","(1129.2815677003405, 54.1937515251343)","(1188.0, 112.91218382479371)"
c206C5,"(2082.0788655293195, 1053.752130881638)","(2091.3882694814033, 325.2667257213356)","(2230.4698170013894, 1056.9651489620169)","(1893.6247371550528, 932.188611699158)"
c208C5,"(1857.0149750907892, 872.1964914980173)","(2410.9602539186017, 668.5483694100564)","(1885.7522908856663, 872.1964914980173)","(1960.877578645956, 872.1964914980173)"
r104C5,"(134.59333942014666, 20.768453788272183)","(194.38477631085024, 42.55767965579487)","(142.93464101079556, 20.768453788272183)","(150.92558226241712, 20.768453788272183)"
r105C5,"(209.32455532033677, 46.57863193164641)","(223.77559263493532, 51.2151120211004)","(209.32455532033677, 50.60003324666502)","(209.32455532033677, 49.317716290207386)"
r202C5,"(428.8113883008419, 179.69717988314895)","(356.8598261325584, 66.3022843964078)","(428.8113883008419, 182.6486943091029)","(428.8113883008419, 223.34048922831025)"
r203C5,"(785.2572976832834, 479.1252879293721)","(796.9661991411779, 404.5982323096734)","(682.4144987024775, 384.45898033750314)","(625.9705627484772, 284.4996248128713)"
rc105C5,"(168.02749956186543, 0.0)","(196.9526811106383, 4.134177474627563)","(168.02749956186543, 0.0)","(195.53121660865068, 2.7127129726581387)"
rc108C5,"(230.42313739457393, 10.0)","(240.0, 9.999999999999917)","(234.57137430032355, 18.88618587669189)","(224.66876695915423, 10.0)"
rc204C5,"(918.4230759016608, 653.5578559748049)","(782.0842795161509, 455.7413494195288)","(927.3999111613768, 653.5578559748051)","(758.05551275464, 466.2757608081492)"
rc208C5,"(406.03840481040527, 139.62667647111792)","(265.1096981498715, 11.500090324147642)","(406.03840481040527, 139.62667647111792)","(406.03840481040527, 127.46480340890542)"
